,ENSEMBL_ID
289,ENSG00000028839
290,ENSG00000029363
291,ENSG00000029364
292,ENSG00000029639
293,ENSG00000029725
294,ENSG00000030066
295,ENSG00000030110
296,ENSG00000030582
297,ENSG00000031003
298,ENSG00000031698
299,ENSG00000031823
300,ENSG00000032219
301,ENSG00000032389
302,ENSG00000032444
303,ENSG00000032742
304,ENSG00000033011
305,ENSG00000033030
306,ENSG00000033050
307,ENSG00000033100
308,ENSG00000033170
309,ENSG00000033178
310,ENSG00000033327
311,ENSG00000033627
312,ENSG00000033800
313,ENSG00000034152
314,ENSG00000034510
315,ENSG00000034533
316,ENSG00000034677
317,ENSG00000034693
318,ENSG00000034713
319,ENSG00000035115
320,ENSG00000035141
321,ENSG00000035403
322,ENSG00000035681
323,ENSG00000035687
324,ENSG00000035862
325,ENSG00000035928
326,ENSG00000036054
327,ENSG00000036257
328,ENSG00000036549
329,ENSG00000037042
330,ENSG00000037241
331,ENSG00000037474
332,ENSG00000037637
333,ENSG00000037749
334,ENSG00000037757
335,ENSG00000037897
336,ENSG00000038002
337,ENSG00000038210
338,ENSG00000038219
339,ENSG00000038274
340,ENSG00000038358
341,ENSG00000038382
342,ENSG00000038427
343,ENSG00000038532
344,ENSG00000038945
345,ENSG00000039068
346,ENSG00000039123
347,ENSG00000039319
348,ENSG00000039523
349,ENSG00000039560
350,ENSG00000039650
351,ENSG00000040275
352,ENSG00000040341
353,ENSG00000040487
354,ENSG00000040531
355,ENSG00000040608
356,ENSG00000040633
357,ENSG00000040933
358,ENSG00000041357
359,ENSG00000041802
360,ENSG00000041880
361,ENSG00000041982
362,ENSG00000041988
363,ENSG00000042088
364,ENSG00000042286
365,ENSG00000042317
366,ENSG00000042429
367,ENSG00000042445
368,ENSG00000042493
369,ENSG00000042753
370,ENSG00000043093
371,ENSG00000043143
372,ENSG00000043462
373,ENSG00000043514
374,ENSG00000044090
375,ENSG00000044115
376,ENSG00000044574
377,ENSG00000047056
378,ENSG00000047188
379,ENSG00000047249
380,ENSG00000047315
381,ENSG00000047346
382,ENSG00000047365
383,ENSG00000047410
384,ENSG00000047578
385,ENSG00000047579
386,ENSG00000047621
387,ENSG00000047849
388,ENSG00000047932
389,ENSG00000048028
390,ENSG00000048140
391,ENSG00000048162
392,ENSG00000048342
393,ENSG00000048392
394,ENSG00000048405
395,ENSG00000048471
396,ENSG00000048544
397,ENSG00000048649
398,ENSG00000048707
399,ENSG00000048828
400,ENSG00000048991
401,ENSG00000049130
402,ENSG00000049167
403,ENSG00000049239
404,ENSG00000049245
405,ENSG00000049246
406,ENSG00000049323
407,ENSG00000049449
408,ENSG00000049540
409,ENSG00000049541
410,ENSG00000049618
411,ENSG00000049656
412,ENSG00000049759
413,ENSG00000049860
