,ENSEMBL_ID
289,ENSG00000028839
290,ENSG00000029363
291,ENSG00000029364
292,ENSG00000029639
293,ENSG00000029725
294,ENSG00000029993
295,ENSG00000030066
296,ENSG00000030110
297,ENSG00000030582
298,ENSG00000031003
299,ENSG00000031823
300,ENSG00000032219
301,ENSG00000032389
302,ENSG00000032444
303,ENSG00000032742
304,ENSG00000033011
305,ENSG00000033030
306,ENSG00000033050
307,ENSG00000033100
308,ENSG00000033170
309,ENSG00000033178
310,ENSG00000033327
311,ENSG00000033627
312,ENSG00000033800
313,ENSG00000034152
314,ENSG00000034510
315,ENSG00000034533
316,ENSG00000034677
317,ENSG00000034693
318,ENSG00000034713
319,ENSG00000035115
320,ENSG00000035141
321,ENSG00000035403
322,ENSG00000035664
323,ENSG00000035681
324,ENSG00000035862
325,ENSG00000035928
326,ENSG00000036054
327,ENSG00000036257
328,ENSG00000037042
329,ENSG00000037241
330,ENSG00000037474
331,ENSG00000037637
332,ENSG00000037749
333,ENSG00000037757
334,ENSG00000037897
335,ENSG00000038002
336,ENSG00000038210
337,ENSG00000038219
338,ENSG00000038274
339,ENSG00000038358
340,ENSG00000038382
341,ENSG00000038427
342,ENSG00000038532
343,ENSG00000038945
344,ENSG00000039068
345,ENSG00000039123
346,ENSG00000039319
347,ENSG00000039523
348,ENSG00000039560
349,ENSG00000039650
350,ENSG00000040275
351,ENSG00000040341
352,ENSG00000040531
353,ENSG00000040608
354,ENSG00000040633
355,ENSG00000040933
356,ENSG00000041357
357,ENSG00000041802
358,ENSG00000041880
359,ENSG00000041982
360,ENSG00000041988
361,ENSG00000042088
362,ENSG00000042286
363,ENSG00000042429
364,ENSG00000042445
365,ENSG00000042493
366,ENSG00000042753
367,ENSG00000043093
368,ENSG00000043143
369,ENSG00000043462
370,ENSG00000043514
371,ENSG00000044090
372,ENSG00000044115
373,ENSG00000044446
374,ENSG00000044574
375,ENSG00000046647
376,ENSG00000046651
377,ENSG00000047056
378,ENSG00000047188
379,ENSG00000047230
380,ENSG00000047249
381,ENSG00000047315
382,ENSG00000047346
383,ENSG00000047365
384,ENSG00000047410
385,ENSG00000047578
386,ENSG00000047579
387,ENSG00000047621
388,ENSG00000047634
389,ENSG00000047644
390,ENSG00000047849
391,ENSG00000048028
392,ENSG00000048140
393,ENSG00000048162
394,ENSG00000048342
395,ENSG00000048392
396,ENSG00000048405
397,ENSG00000048471
398,ENSG00000048544
399,ENSG00000048649
400,ENSG00000048707
401,ENSG00000048991
402,ENSG00000049167
403,ENSG00000049239
404,ENSG00000049246
405,ENSG00000049323
406,ENSG00000049449
407,ENSG00000049540
408,ENSG00000049541
409,ENSG00000049618
410,ENSG00000049656
411,ENSG00000049759
412,ENSG00000049860
413,ENSG00000050130
